date,Iceland,Poland,Sweden,Norway
27/02/2020,0,0,1,1
28/02/2020,0,0,5,3
29/02/2020,1,0,5,2
01/03/2020,0,0,1,9
02/03/2020,2,0,1,4
03/03/2020,3,0,1,6
04/03/2020,10,1,9,8
05/03/2020,10,0,11,23
06/03/2020,9,0,26,30
07/03/2020,8,4,76,27
08/03/2020,10,1,24,34
09/03/2020,2,5,42,22
10/03/2020,10,6,45,23
11/03/2020,5,5,78,85
12/03/2020,15,9,136,212
13/03/2020,13,18,158,132
14/03/2020,0,19,155,0
15/03/2020,21,36,149,286
16/03/2020,40,21,108,170
17/03/2020,21,52,89,72
18/03/2020,48,61,46,139
19/03/2020,3,49,134,115
20/03/2020,80,68,122,129
21/03/2020,79,70,200,190
